AÑO JUDICIAL;SECCIÓN - SALA;RAMA JURÍDICA;NÚMERO EXPEDIENTE;"JURISDICCIÓN
PROCEDENCIA";"JURISDICCIÓN
RESOLUCIÓN";"TÍTULO GENERAL  
(MATERIA DEL RECURSO)";"TÍTULO ESPECIFICO 
(SUMILLA)";PÁGINA;F. LIBRO;F. TOMO;F. AÑO;ENLACE;
1871-1872;Sección judicial;---;---;***;***;---;El despojo causado por las autoridades políticas, no siempre da lugar al recurso de protección autorizado por el artículo 1526 del Código de Enjuiciamientos;3;Anales Judiciales del Perú  1871-1872 ;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Prescripción adquisitiva.- La posesión de más de cuarenta años, constituye título de dominio;8;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Comiso;10;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Personería;13;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Personería;14;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;La declaración que se hace en la escritura de adquisición de gravar en el inmueble un censo, presta mérito bastante para proceder ejecutivamente al cobre de los réditos;16;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Cobro de cantidad de pesos;17;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Las Cortes Superiores, al estrañar la conducta de los jueces, proceden en el ejercicio de sus facultades, disciplinarias, de modo que tales medidas no dan lugar, por consiguiente, al extraordinario recurso de nulidad;21;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Los peritos, que para mejor resolver, nombran de oficio los jueces en causas criminales, no pueden ser tachados por el acusado - En el plenario, puede éste hacer uso de su derecho con areglo á la ley;23;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;La semiplena probanza, para el efecto de pedir alimentos provisionales, no es título bastante para reclamar alimentos permanentes;25;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Robo en cuadrilla;27;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Cantidad de soles;28;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Personería del apoderado para intervenir en juicio;30;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;El Gerente de una compañía, no tiene personería para oponerse al embargo de la acción de un socio cuando no se dispone, á la vez, sobre los intereses de semejante compañía;32;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Las minas de petroleo ¿están sujetas á las Ordenanzas de Minería ó á las leyes de la Novísima recopilación? - Modo de resolver el punto;34;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Caso en que el padre, en estado de ebriedad y sin intensión de mata, causa la muertede su hijo, proponiéndose únicamente corregirlo, merece la la pena de 14 años de penitenciaría;37;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;La vía ejecutiva está expedita para exijir el cumplimiento de obligaciones procedentes de un contrato de arrendamiento fenecido;39;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Personería  ;41;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Insubsistencia de lo actuado, por irregularidades en el procedimiento;43;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Misión en posesión;46;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;Robo en cuadrilla - Error en el modo de computar las penas;51;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
1871-1872;Sección judicial;---;---;***;***;---;El incidente sobre exhibición de libros, cuando éstos se piden en parte de prueba, dá lugar al extraordinario recurso de nulidad;54;Anales Judiciales del Perú  1871-1872;Tomo I ;1906;Enlace;
